projectBudget,durationDays,taskCount,highPriorityTaskCount,averageAttendanceRate,weatherRisk,materialShortages,costOverrunProbability
2775223.3298113565,92,71,12,0.8772339734692236,0.8645062051794977,3,0.29660629264855504
484318.24820481153,156,26,0,0.6580460291779231,0.49480872359723616,7,0.4560629497234554
8190273.145392751,41,45,2,0.9184957792576746,0.2575198879460918,7,0.3016983382530996
8085044.817301835,257,84,11,0.8257398969516287,0.6471644840617792,7,0.45382003459414516
6060045.875247858,190,73,7,0.9869398571445811,0.8461100586017438,9,0.5731432934510141
3543651.3193240664,287,54,10,0.7558693266914331,0.5977088595282871,4,0.4159098217760813
1019235.8214589562,238,12,0,0.9963751642029925,0.8761355823756681,3,0.3815023754407243
4973506.071344281,336,67,14,0.7377631342416637,0.08960995729996224,6,0.3122361715301005
1113800.0259256524,165,5,0,0.8833560767375124,0.565028504866285,8,0.3888560648953037
4303868.630656753,165,69,9,0.5655287766682224,0.794179910752064,5,0.456006835505145
8445455.664732287,129,64,12,0.8863069259874344,0.9978068553770543,4,0.3935270980798101
8059605.603056394,43,47,0,0.791096114956541,0.4533692293692402,4,0.1896863394164219
484648.8032534332,338,87,15,0.5701569496756496,0.9347847329057468,4,0.48397094870005786
1500816.853902807,49,47,3,0.8909889131640252,0.8952394519698418,5,0.4058037823529686
2243313.192727303,78,53,1,0.9468739592307859,0.01295484877990516,5,0.14072611656122525
879611.810833337,228,49,6,0.6337523767670825,0.4785912744982911,5,0.3818492854827764
472503.4732636455,345,33,6,0.655977957673521,0.49822350752480815,7,0.5291958094183646
9523616.257342303,92,61,13,0.6676139687458296,0.7509309959901794,3,0.3709315099540633
9970203.993587473,124,85,2,0.5215303886656069,0.8323236366222121,0,0.2848557844331614
9155276.547593402,343,35,6,0.7259151061790988,0.6985618132481739,9,0.5703295869133252
544610.3192325184,346,94,15,0.6890018281417207,0.357572346279761,5,0.4167459485393171
8298532.834084194,160,80,17,0.7834934365197699,0.4812685446203283,7,0.418811776430366
9614058.070438845,274,13,0,0.8164401594352135,0.13019652537371373,7,0.41728422704470414
1562232.7848387586,357,61,11,0.791264428120824,0.8102934339576643,0,0.3750740327367573
2477813.3160134675,175,72,15,0.9710720240881541,0.5927608820248865,7,0.3868317286378339
7183937.591179343,51,56,9,0.7948778405722461,0.3345444117615939,9,0.35492882037499207
5068422.529282497,244,73,1,0.6843250658645561,0.8270358036394352,6,0.4118479468122547
7571949.064944852,174,68,7,0.8120645062253663,0.5098087474814968,6,0.3941852389246992
904744.1515506994,294,63,7,0.8920849712876702,0.16437383231074043,3,0.24482040301574415
6306575.973866566,231,11,1,0.7555244166266086,0.1323550752614534,9,0.38962818590706594
5852657.047365995,205,38,5,0.502086766549881,0.5356838572336621,2,0.3886885081234586
1559609.5818301875,33,56,7,0.7750848831860813,0.2920879042093213,2,0.15918143709982605
4410808.468176626,317,63,11,0.5729892659773013,0.43262968863170725,7,0.43476945839625475
9050850.353341013,46,74,12,0.8168556450660497,0.5541437058431558,8,0.4112964838290818
9881925.527013052,157,11,0,0.6159696570828819,0.634233771947609,7,0.422991597283496
5827311.3099337295,80,26,4,0.6186491535824631,0.7049134850060771,0,0.2844711395503549
6044380.969469988,182,46,7,0.5073117302466759,0.7535088486733037,4,0.5268065904639468
9661274.698300177,306,53,6,0.89074117466708,0.9869015567123218,0,0.3285817704834759
8647874.898575462,283,12,2,0.5286758723685109,0.779317991374674,8,0.5641816953326523
9001248.916613681,63,20,4,0.64478071851518,0.7080330164397531,4,0.35228137569111984
5788092.403067966,351,14,0,0.903518275455227,0.3374584757111089,9,0.4112054326348669
2051225.208552745,120,22,1,0.951827897571252,0.33934699403921953,0,0.16020238644295717
2094067.7533893946,350,91,15,0.6883521722155547,0.43334403332041915,5,0.3940104609422077
4326517.377707345,320,37,6,0.9814196919795102,0.7845437539465869,4,0.4167842336026139
3135490.4647633247,57,89,9,0.8360068758050638,0.6591342769708723,9,0.4258005242855843
